location,tanggal,pm10,pm25
DKI3,3/1/2021,62,97
DKI4,3/2/2021,55,81
DKI3,3/3/2021,59,83
DKI4,3/4/2021,62,103
DKI2,3/5/2021,65,81
DKI4,3/6/2021,71,95
DKI5,3/7/2021,64,103
DKI4,3/8/2021,58,81
DKI3,3/9/2021,51,63
DKI5,3/10/2021,60,91
DKI4,3/11/2021,38,53
DKI3,3/12/2021,66,99
DKI3,3/13/2021,53,72
DKI3,3/14/2021,52,73
DKI5,3/15/2021,55,92
DKI4,3/16/2021,67,101
DKI4,3/17/2021,78,123
DKI4,3/18/2021,78,125
DKI5,3/19/2021,73,96
DKI3,3/20/2021,65,106
DKI3,3/21/2021,81,118
DKI3,3/22/2021,62,93
DKI3,3/23/2021,51,77
DKI3,3/24/2021,43,64
DKI4,3/25/2021,38,68
DKI4,3/26/2021,57,83
DKI4,3/27/2021,62,91
DKI5,3/28/2021,57,78
DKI5,3/29/2021,65,91
DKI4,3/30/2021,59,76
DKI4,3/31/2021,56,69
